en_ewt-ud-dev,blvns,reviews-243369
en_ewt-ud-dev,blvns,reviews-087176
en_ewt-ud-dev,blvns,answers-20111108024148AAO8oFI_ans
en_ewt-ud-dev,blvns,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800
en_ewt-ud-dev,blvns,answers-20111108083304AAryBu9_ans
en_ewt-ud-dev,blvns,email-enronsent01_01
en_ewt-ud-dev,blvns,reviews-343035
en_ewt-ud-dev,blvns,reviews-139456
en_ewt-ud-dev,blvns,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500
en_ewt-ud-dev,blvns,answers-20111107155302AAXXuM1_ans
en_ewt-ud-dev,blvns,reviews-385436
en_ewt-ud-dev,blvns,reviews-045753
en_ewt-ud-dev,blvns,reviews-371492
en_ewt-ud-dev,blvns,reviews-073742
en_ewt-ud-dev,blvns,reviews-090390
en_ewt-ud-dev,blvns,answers-20111108105146AAtiEx7_ans
en_ewt-ud-dev,blvns,reviews-359433
en_ewt-ud-dev,blvns,reviews-323248
en_ewt-ud-dev,blvns,newsgroup-groups.google.com_alt.animals.cat_04d718686843b577_ENG_20040713_101600
en_ewt-ud-dev,blvns,reviews-363633
en_ewt-ud-dev,blvns,email-enronsent23_11
en_ewt-ud-dev,blvns,reviews-380048
en_ewt-ud-dev,blvns,reviews-194313
en_ewt-ud-dev,blvns,reviews-242303
en_ewt-ud-dev,blvns,reviews-014483
en_ewt-ud-dev,blvns,reviews-014629
en_ewt-ud-dev,blvns,reviews-358063
en_ewt-ud-dev,blvns,answers-20111106032810AA43zpY_ans
en_ewt-ud-dev,blvns,newsgroup-groups.google.com_DungeonsDragonsChillicotheOH45601_022e6f4a0cd6fb61_ENG_20050829_233300
en_ewt-ud-dev,blvns,reviews-307209
en_ewt-ud-dev,blvns,reviews-291088
en_ewt-ud-dev,blvns,reviews-018268
en_ewt-ud-dev,blvns,reviews-279070
en_ewt-ud-dev,blvns,reviews-067826
en_ewt-ud-dev,blvns,reviews-105719
en_ewt-ud-dev,blvns,reviews-231724
en_ewt-ud-dev,blvns,reviews-163703
en_ewt-ud-dev,blvns,answers-20111024210025AAVtDL7_ans
en_ewt-ud-dev,blvns,reviews-379701
en_ewt-ud-dev,blvns,reviews-134741
en_ewt-ud-dev,blvns,reviews-306740
en_ewt-ud-dev,blvns,reviews-313558
en_ewt-ud-dev,blvns,answers-20111108082040AAmrGJ5_ans
en_ewt-ud-dev,blvns,answers-20110909115731AAl3uzs_ans
en_ewt-ud-dev,blvns,reviews-184731
en_ewt-ud-dev,blvns,email-enronsent08_01
en_ewt-ud-dev,blvns,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400
en_ewt-ud-dev,blvns,reviews-308297
